City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Crestview,US,30.7621,-86.5705,78.04,71,0,3.44,clear sky,2022-05-14 14:08:10
1,Albany,US,42.6001,-73.9662,74.62,76,58,1.92,broken clouds,2022-05-14 13:58:02
2,Rikitea,PF,-23.1203,-134.9692,76.35,68,0,21.92,clear sky,2022-05-14 14:11:22
3,Roald,NO,62.5833,6.1333,49.91,71,20,23.02,few clouds,2022-05-14 14:11:23
4,Kholm,RU,59.2667,32.85,59.61,38,98,8.23,overcast clouds,2022-05-14 14:11:23
5,Castro,BR,-24.7911,-50.0119,64.76,67,100,5.1,overcast clouds,2022-05-14 14:11:24
6,Bambous Virieux,MU,-20.3428,57.7575,75.22,69,47,11.27,scattered clouds,2022-05-14 14:11:24
7,Lebu,CL,-37.6167,-73.65,50.72,69,96,16.11,overcast clouds,2022-05-14 14:11:25
8,Cape Town,ZA,-33.9258,18.4232,69.12,60,0,5.01,clear sky,2022-05-14 14:09:30
9,Nantai,CN,40.9241,122.8044,48.61,49,4,7.52,clear sky,2022-05-14 14:11:25
10,Bonavista,CA,48.6499,-53.1147,33.67,86,100,12.53,snow,2022-05-14 14:11:26
11,Ushuaia,AR,-54.8,-68.3,40.62,93,40,3.44,scattered clouds,2022-05-14 14:07:30
12,Ancud,CL,-41.8697,-73.8203,50.14,87,76,5.46,broken clouds,2022-05-14 14:11:26
13,Punta Arenas,CL,-53.15,-70.9167,44.71,81,20,9.22,few clouds,2022-05-14 14:11:00
14,Gunjur,GM,13.2019,-16.7339,91.47,46,0,8.05,clear sky,2022-05-14 14:11:27
15,Atuona,PF,-9.8,-139.0333,78.98,70,91,21.27,overcast clouds,2022-05-14 14:11:27
16,Kattivakkam,IN,13.2167,80.3167,86.07,86,100,12.95,overcast clouds,2022-05-14 14:11:28
17,Faanui,PF,-16.4833,-151.75,80.91,67,44,13.18,scattered clouds,2022-05-14 14:11:28
18,Yellowknife,CA,62.456,-114.3525,41.56,77,46,10.0,scattered clouds,2022-05-14 14:07:01
19,Qaanaaq,GL,77.484,-69.3632,17.46,68,42,4.65,scattered clouds,2022-05-14 14:11:29
20,Tanabe,JP,33.7333,135.3667,60.03,81,98,7.65,overcast clouds,2022-05-14 14:11:29
21,Shingu,JP,33.7333,135.9833,60.78,84,73,5.75,broken clouds,2022-05-14 14:11:29
22,Busselton,AU,-33.65,115.3333,58.98,68,81,11.79,broken clouds,2022-05-14 14:11:30
23,Tiksi,RU,71.6872,128.8694,8.42,95,12,5.61,few clouds,2022-05-14 14:11:30
24,Babati,TZ,-4.2167,35.75,77.13,47,94,6.4,overcast clouds,2022-05-14 14:11:31
25,Dentsville,US,34.064,-80.9582,73.42,84,0,1.01,clear sky,2022-05-14 14:11:31
26,Paamiut,GL,61.994,-49.6678,27.05,62,100,10.76,overcast clouds,2022-05-14 14:11:32
27,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,45,11.25,light rain,2022-05-14 14:01:49
28,Puerto Ayora,EC,-0.7393,-90.3518,71.55,98,30,1.99,scattered clouds,2022-05-14 14:01:59
29,Mataura,NZ,-46.1927,168.8643,45.48,94,100,1.32,overcast clouds,2022-05-14 14:11:32
30,Sola,VU,-13.8833,167.55,79.97,71,100,16.89,overcast clouds,2022-05-14 14:11:33
31,Torbay,CA,47.6666,-52.7314,40.28,94,100,7.0,light rain,2022-05-14 14:11:33
32,Kodiak,US,57.79,-152.4072,38.71,87,100,12.66,light rain,2022-05-14 14:11:34
33,Bubaque,GW,11.2833,-15.8333,78.42,79,30,9.08,scattered clouds,2022-05-14 14:11:34
34,Corby,GB,52.4964,-0.6894,70.83,49,0,6.91,clear sky,2022-05-14 14:11:35
35,Tiarei,PF,-17.5333,-149.3333,77.02,66,2,12.68,clear sky,2022-05-14 14:11:35
36,Kruisfontein,ZA,-34.0033,24.7314,64.89,61,91,13.6,overcast clouds,2022-05-14 14:11:36
37,Monrovia,LR,6.3005,-10.7969,85.21,71,31,7.14,light rain,2022-05-14 14:11:36
38,Zhigansk,RU,66.7697,123.3711,23.09,79,9,8.57,clear sky,2022-05-14 14:11:37
39,Lakes Entrance,AU,-37.8811,147.981,60.17,87,100,3.53,overcast clouds,2022-05-14 14:11:37
40,East London,ZA,-33.0153,27.9116,66.61,64,5,14.9,clear sky,2022-05-14 14:11:38
41,Dingle,PH,10.9995,122.6711,79.54,85,81,1.66,broken clouds,2022-05-14 14:11:38
42,Hermanus,ZA,-34.4187,19.2345,66.79,65,13,5.79,few clouds,2022-05-14 14:12:38
43,Dodge City,US,37.7528,-100.0171,69.26,90,20,5.75,mist,2022-05-14 14:12:39
44,Perpignan,FR,42.75,2.75,83.82,52,0,11.5,clear sky,2022-05-14 14:12:39
