City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2022-05-09 20:10:47,20.8947,-156.47,82.42,44,20,13.0
1,Nome,US,2022-05-09 20:06:51,64.5011,-165.4064,32.16,74,40,16.11
2,Esperance,AU,2022-05-09 20:10:47,-33.8667,121.9,61.56,44,10,14.47
3,Zhigansk,RU,2022-05-09 20:10:48,66.7697,123.3711,7.7,92,12,8.03
4,Bambous Virieux,MU,2022-05-09 20:06:45,-20.3428,57.7575,74.21,94,40,1.14
5,Kota Kinabalu,MY,2022-05-09 20:10:48,5.9749,116.0724,75.18,100,20,3.44
6,Codrington,AU,2022-05-09 20:10:49,-38.2667,141.9667,44.67,82,8,5.88
7,Barrow,US,2022-05-09 20:10:49,71.2906,-156.7887,30.22,93,100,8.05
8,Punta Arenas,CL,2022-05-09 20:10:50,-53.15,-70.9167,48.22,76,20,26.46
9,Carnarvon,AU,2022-05-09 20:10:50,-24.8667,113.6333,66.27,68,97,8.05
10,Faanui,PF,2022-05-09 20:06:54,-16.4833,-151.75,81.82,73,1,14.7
11,Cape Town,ZA,2022-05-09 20:10:51,-33.9258,18.4232,55.35,87,75,1.99
12,Avarua,CK,2022-05-09 20:10:51,-21.2078,-159.775,80.76,79,100,11.99
13,Ribeira Grande,PT,2022-05-09 20:10:51,38.5167,-28.7,66.6,77,20,3.44
14,Sandpoint,US,2022-05-09 20:10:16,48.2766,-116.5533,49.86,75,100,8.05
15,Hithadhoo,MV,2022-05-09 20:10:52,-0.6,73.0833,84.6,77,65,20.47
16,Lorengau,PG,2022-05-09 20:10:53,-2.0226,147.2712,83.75,69,97,13.69
17,Vaini,TO,2022-05-09 20:10:53,-21.2,-175.2,71.76,68,20,6.91
18,Arraial Do Cabo,BR,2022-05-09 20:10:53,-22.9661,-42.0278,75.06,60,20,6.91
19,Young,UY,2022-05-09 20:10:54,-32.6833,-57.6333,67.44,69,100,3.89
20,Mount Isa,AU,2022-05-09 20:08:41,-20.7333,139.5,65.97,100,75,6.91
21,Watsa,CD,2022-05-09 20:10:54,3.0372,29.5355,64.63,98,100,1.99
22,Verkhnyaya Khava,RU,2022-05-09 20:10:55,51.8404,39.9413,42.87,79,2,8.5
23,Rikitea,PF,2022-05-09 20:10:55,-23.1203,-134.9692,76.08,67,17,10.76
24,Bluff,NZ,2022-05-09 20:10:56,-46.6,168.3333,48.79,72,69,7.61
25,Sesheke,ZM,2022-05-09 20:10:56,-17.4759,24.2968,65.61,37,0,3.8
26,Bandarbeyla,SO,2022-05-09 20:10:57,9.4942,50.8122,83.1,85,83,4.5
27,Jamestown,US,2022-05-09 20:08:43,42.097,-79.2353,75.52,19,0,4.61
28,Tuktoyaktuk,CA,2022-05-09 20:10:57,69.4541,-133.0374,35.98,83,100,13.82
29,Kapaa,US,2022-05-09 20:10:07,22.0752,-159.319,80.58,77,40,18.41
30,Cam Ranh,VN,2022-05-09 20:10:58,11.9214,109.1591,78.76,89,20,2.3
31,Khromtau,KZ,2022-05-09 20:10:58,50.2503,58.4347,52.02,92,100,19.86
32,Narsaq,GL,2022-05-09 20:10:59,60.9167,-46.05,53.82,77,6,5.75
33,Tayoltita,MX,2022-05-09 20:10:59,24.0833,-105.9333,94.41,16,5,9.19
34,Bredasdorp,ZA,2022-05-09 20:11:00,-34.5322,20.0403,54.03,82,51,4.45
35,Athabasca,CA,2022-05-09 20:11:00,54.7169,-113.2854,41.2,60,100,10.18
36,Morgan City,US,2022-05-09 20:11:00,29.6994,-91.2068,89.01,47,0,10.36
37,Grindavik,IS,2022-05-09 20:11:01,63.8424,-22.4338,48.67,76,20,12.66
38,Ouesso,CG,2022-05-09 20:11:01,1.6136,16.0517,73.49,88,100,2.37
39,New Norfolk,AU,2022-05-09 20:06:49,-42.7826,147.0587,44.71,82,59,3.31
40,Ngaoundere,CM,2022-05-09 20:11:02,7.3167,13.5833,66.76,91,100,3.94
41,Emerald,AU,2022-05-09 20:11:02,-23.5333,148.1667,65.34,90,100,10.45
42,Khorramshahr,IR,2022-05-09 20:11:03,30.4397,48.1664,81.05,16,0,10.16
43,Hermanus,ZA,2022-05-09 20:08:14,-34.4187,19.2345,58.51,74,52,6.85
44,Baiyin,CN,2022-05-09 20:11:03,36.5583,104.2081,60.71,38,100,3.44
45,Homer,US,2022-05-09 20:11:04,59.6425,-151.5483,46.29,60,0,18.99
